,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,offset,Dist,unconstrainedEst1,log_Oi1_origpop,log_Dj2_destsal,log_Dist,unconstrainedEst2,fitted
38,E09000002,E09000006,66,Barking and Dagenham,00AB,Bromley,00AF,66,0,7,10,0,0,45,0,4,0,0,0,56000,16200,164000,19100,0.0,19954.35099344632,428,10.933106969717286,9.857443614034722,9.901202493448363,294,294.25177379917534
39,E09000002,E09000007,1500,Barking and Dagenham,00AB,Camden,00AG,1500,0,801,387,24,0,216,19,42,3,5,3,56000,16200,101000,19800,0.0,20157.230195622462,435,10.933106969717286,9.893437216682626,9.911318321656129,308,307.80979585248053
66,E09000003,E09000001,7709,Barnet,00AC,City of London,00AA,7709,0,4948,1779,133,16,620,59,111,25,10,8,159000,18700,12000,38300,0.0,13935.670950321757,4995,11.976659481202368,10.553205175168737,9.542207087326858,9587,9586.868891798396
67,E09000003,E09000002,96,Barnet,00AC,Barking and Dagenham,00AB,96,0,9,3,0,0,74,3,4,0,3,0,159000,18700,56000,16200,0.0,25100.413806903565,651,11.976659481202368,9.692766521220475,10.130639611314797,1015,1014.7220866529117
69,E09000003,E09000004,34,Barnet,00AC,Bexley,00AD,34,0,3,8,0,0,23,0,0,0,0,0,159000,18700,112000,18300,0.0,29923.53413785155,518,11.976659481202368,9.814656338829513,10.306400544693446,968,968.4423236152024
70,E09000003,E09000005,5467,Barnet,00AC,Brent,00AE,5467,0,290,122,869,14,3541,244,57,68,245,17,159000,18700,127000,16500,0.0,7543.2836451969915,7344,11.976659481202368,9.711115659888671,8.928412862911308,5683,5683.010621901447
71,E09000003,E09000006,76,Barnet,00AC,Bromley,00AF,76,0,14,14,3,0,39,0,0,0,6,0,159000,18700,164000,19100,0.0,32662.258221615735,453,11.976659481202368,9.857443614034722,10.393975507478187,919,918.6170082171514
72,E09000003,E09000007,12080,Barnet,00AC,Camden,00AG,12080,0,5741,989,884,25,3593,287,197,180,167,17,159000,18700,101000,19800,0.0,8560.390051204942,6843,11.976659481202368,9.893437216682626,9.054901034827205,6422,6421.907767816955
99,E09000004,E09000001,6580,Bexley,00AD,City of London,00AA,6580,0,60,5697,45,6,515,54,167,20,10,6,112000,18300,12000,38300,0.0,17359.9086822708,2267,11.626254150277232,10.553205175168737,9.76191872796265,3803,3803.1608779459953
100,E09000004,E09000002,362,Bexley,00AD,Barking and Dagenham,00AB,362,0,3,11,15,0,285,16,13,0,8,11,112000,18300,56000,16200,0.0,9264.88700157722,3367,11.626254150277232,9.692766521220475,9.133986942377112,2231,2231.333202127243
101,E09000004,E09000003,132,Bexley,00AD,Barnet,00AC,132,0,3,57,6,0,60,3,3,0,0,0,112000,18300,159000,18700,0.0,29923.53413785155,373,11.626254150277232,9.836278802842678,10.306400544693446,542,542.4416282289936
103,E09000004,E09000005,144,Bexley,00AD,Brent,00AE,144,0,12,57,6,0,62,3,4,0,0,0,112000,18300,127000,16500,0.0,30474.823420254063,317,11.626254150277232,9.711115659888671,10.324656160083434,430,430.18252043839817
104,E09000004,E09000006,4998,Bexley,00AD,Bromley,00AF,4998,0,13,164,645,10,3699,288,88,40,45,6,112000,18300,164000,19100,0.0,11733.620639978024,2475,11.626254150277232,9.857443614034722,9.370213558980057,2099,2098.5911753890177
105,E09000004,E09000007,2470,Bexley,00AD,Camden,00AG,2470,0,66,1941,32,3,308,19,80,9,9,3,112000,18300,101000,19800,0.0,22882.838832788955,675,11.626254150277232,9.893437216682626,10.038142512656743,869,869.4998054876213
132,E09000005,E09000001,4145,Brent,00AE,City of London,00AA,4145,0,3327,372,90,3,246,16,38,37,13,3,127000,16500,12000,38300,0.0,13119.79720772819,4501,11.751942365440728,10.553205175168737,9.48187760565059,7034,7034.214256882754
133,E09000005,E09000002,40,Brent,00AE,Barking and Dagenham,00AB,40,0,10,6,0,0,24,0,0,0,0,0,127000,16500,56000,16200,0.0,27856.17716671555,422,11.751942365440728,9.692766521220475,10.234810022079486,591,590.6116267532836
134,E09000005,E09000003,6124,Brent,00AE,Barnet,00AC,6124,0,334,160,1622,7,3224,307,57,71,326,16,127000,16500,159000,18700,0.0,7543.2836451969915,6648,11.751942365440728,9.836278802842678,8.928412862911308,4707,4707.241099025223
135,E09000005,E09000004,28,Brent,00AE,Bexley,00AD,28,0,5,6,4,0,10,0,3,0,0,0,127000,16500,112000,18300,0.0,30474.823420254063,399,11.751942365440728,9.814656338829513,10.324656160083434,636,636.1528615245442
137,E09000005,E09000006,66,Brent,00AE,Bromley,00AF,66,0,24,15,5,0,16,3,0,0,0,3,127000,16500,164000,19100,0.0,30382.587606590383,419,11.751942365440728,9.857443614034722,10.321624947196419,686,685.5254919597638
138,E09000005,E09000007,8105,Brent,00AE,Camden,00AG,8105,0,3661,994,915,19,1707,178,105,205,311,10,127000,16500,101000,19800,0.0,7774.499806422854,6627,11.751942365440728,9.893437216682626,8.958604401398887,4957,4956.727971329257
165,E09000006,E09000001,9855,Bromley,00AF,City of London,00AA,9855,0,173,8841,67,6,512,53,155,27,11,10,164000,19100,12000,38300,0.0,18740.8229489021,2849,12.007621706806335,10.553205175168737,9.838459468857147,6670,6670.241278643697
166,E09000006,E09000002,134,Bromley,00AF,Barking and Dagenham,00AB,134,0,3,10,0,0,118,3,0,0,0,0,164000,19100,56000,16200,0.0,19954.35099344632,1063,12.007621706806335,9.692766521220475,9.901202493448363,1480,1479.9471399620472
167,E09000006,E09000003,162,Bromley,00AF,Barnet,00AC,162,0,21,68,3,0,57,3,4,0,6,0,164000,19100,159000,18700,0.0,32662.258221615735,458,12.007621706806335,9.836278802842678,10.393975507478187,937,936.7052435977033
168,E09000006,E09000004,3199,Bromley,00AF,Bexley,00AD,3199,0,3,103,266,6,2597,114,55,25,23,7,164000,19100,112000,18300,0.0,11733.620639978024,3472,12.007621706806335,9.814656338829513,9.370213558980057,3820,3820.4723572092475
169,E09000006,E09000005,201,Bromley,00AF,Brent,00AE,201,0,19,68,18,0,80,6,4,3,3,0,164000,19100,127000,16500,0.0,30382.587606590383,467,12.007621706806335,9.711115659888671,10.321624947196419,844,843.9254874270592
171,E09000006,E09000007,3780,Bromley,00AF,Camden,00AG,3780,0,130,3155,58,3,284,24,86,27,7,6,164000,19100,101000,19800,0.0,24233.703798027887,881,12.007621706806335,9.893437216682626,10.095499662138076,1567,1566.7373515368881
198,E09000007,E09000001,8795,Camden,00AG,City of London,00AA,8795,0,5738,1042,441,130,501,60,128,209,532,14,101000,19800,12000,38300,0.0,5742.818335746267,18684,11.522875795823397,10.553205175168737,8.65570536807185,15056,15056.173265655665
199,E09000007,E09000002,36,Camden,00AG,Barking and Dagenham,00AB,36,0,11,6,0,0,16,0,3,0,0,0,101000,19800,56000,16200,0.0,20157.230195622462,641,11.522875795823397,9.692766521220475,9.911318321656129,623,622.9247178435212
200,E09000007,E09000003,1496,Camden,00AG,Barnet,00AC,1496,0,310,79,270,3,664,40,12,31,84,3,101000,19800,159000,18700,0.0,8560.390051204942,4105,11.522875795823397,9.836278802842678,9.054901034827205,2635,2634.8660775308126
201,E09000007,E09000004,32,Camden,00AG,Bexley,00AD,32,0,4,9,0,0,13,6,0,0,0,0,101000,19800,112000,18300,0.0,22882.838832788955,562,11.522875795823397,9.814656338829513,10.038142512656743,637,636.9197583409671
202,E09000007,E09000005,1350,Camden,00AG,Brent,00AE,1350,0,327,118,179,4,498,22,21,28,144,9,101000,19800,127000,16500,0.0,7774.499806422854,4392,11.522875795823397,9.711115659888671,8.958604401398887,2455,2455.283200776247
203,E09000007,E09000006,60,Camden,00AG,Bromley,00AF,60,0,20,24,3,0,13,0,0,0,0,0,101000,19800,164000,19100,0.0,24233.703798027887,523,11.522875795823397,9.857443614034722,10.095499662138076,630,630.408717857228
