station_origin,station_destination,flows,population,jobs,distance
Acton Town,Bethnal Green,2,3745,4660,18756.929261600988
Acton Town,Blackfriars,39,3745,10849,14337.842140748924
Acton Town,Blackhorse Road,0,3745,2955,24646.74686340131
Acton Town,Bond Street,27,3745,20967,12250.354304934106
Acton Town,Borough,1,3745,3254,15233.5500139695
Acton Town,Boston Manor,62,3745,892,3511.7366499548552
Acton Town,Bounds Green,1,3745,778,24547.150100086536
Acton Town,Bow Road,1,3745,1193,20883.801799077464
Acton Town,Brixton,16,3745,5084,16094.56482452435
Acton Town,Bromley-by-Bow,2,3745,1613,21892.57170843943
Acton Town,Burnt Oak,0,3745,649,26884.76189773696
Acton Town,Caledonian Road,2,3745,1803,16618.354302519798
Acton Town,Camden Town,3,3745,6348,15181.522925502031
Acton Town,Canada Water,11,3745,20443,17796.299605690754
Acton Town,Canary Wharf,57,3745,58772,20398.1658821839
Acton Town,Canning Town,3,3745,15428,22942.354486680048
Acton Town,Cannon Street,18,3745,4698,15246.28514302297
Acton Town,Canons Park,0,3745,526,24459.580290828068
Acton Town,Chalfont & Latimer,0,3745,554,34069.93204501533
Acton Town,Chalk Farm,0,3745,1329,16175.30007250793
Acton Town,Chancery Lane,20,3745,15391,13817.715067127721
Acton Town,Charing Cross,5,3745,7016,12450.876518325196
Acton Town,Chiswick Park,20,3745,1517,1274.944806888584
Acton Town,Chorleywood,1,3745,702,30557.07875355831
Acton Town,Clapham Common,3,3745,2020,16102.886653378713
Acton Town,Clapham North,1,3745,1238,15460.129162000025
Acton Town,Clapham South,2,3745,1513,17355.20488611463
Acton Town,Cockfosters,0,3745,262,31090.16437759457
Acton Town,Colindale,0,3745,2081,25578.339848043313
Acton Town,Colliers Wood,0,3745,865,21858.386034672636
Acton Town,Covent Garden,44,3745,4355,12619.290783428703
Acton Town,Croxley,0,3745,340,26518.65670340584
Acton Town,Dagenham East,0,3745,649,35080.15309353182
Acton Town,Dagenham Heathway,0,3745,1108,33800.92530448235
Acton Town,Dollis Hill,0,3745,847,16674.680547023712
Acton Town,Ealing Broadway,107,3745,4846,2591.9199120944986
Acton Town,Ealing Common,13,3745,915,1026.6228291377497
Acton Town,Earl's Court,129,3745,6613,6775.3290913835135
Acton Town,East Acton,2,3745,1505,7200.836169998621
Acton Town,East Finchley,0,3745,1253,21556.85114273619
Acton Town,East Ham,1,3745,2062,26655.97721468477
Acton Town,East Putney,13,3745,1877,11040.846430570322
Acton Town,Eastcote,2,3745,364,13360.87858396085
Acton Town,Edgware,1,3745,772,28402.891576600665
Acton Town,Edgware Road,12,3745,6868,11062.555226393433
Acton Town,Elephant & Castle,20,3745,6427,14533.589470567442
Acton Town,Embankment,16,3745,10220,12791.207338784348
Acton Town,Euston,14,3745,16800,13807.924115328771
Acton Town,Euston Square,3,3745,8093,13544.17525742286
Acton Town,Farringdon,19,3745,25592,16441.652374676254
Acton Town,Finchley Central,1,3745,1921,23927.40768801239
Acton Town,Finchley Road,0,3745,3417,13983.62615284304
Acton Town,Finsbury Park,7,3745,6769,18673.113574610652
Acton Town,Fulham Broadway,41,3745,4200,8285.480159555247
Acton Town,Gants Hill,0,3745,601,31147.864885790954
Acton Town,Gloucester Road,62,3745,5194,7685.450305232755
Acton Town,Golders Green,1,3745,1871,20777.13002326805
Acton Town,Goldhawk Road,0,3745,370,5382.288275345911
Acton Town,Goodge Street,14,3745,6457,13484.172224906648
Acton Town,Great Portland Street,10,3745,6936,12924.215039163368
Acton Town,Green Park,79,3745,26754,11101.441991772297
Acton Town,Greenford,2,3745,1157,12300.930538309829
Acton Town,Gunnersbury,0,3745,4775,3769.8602212684928
Acton Town,Hammersmith,391,3745,18250,4376.698940100493
Acton Town,Hampstead,0,3745,2010,18391.404116087222
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.505332808692
Acton Town,Hatton Cross,62,3745,1219,12068.287350323866
Acton Town,Heathrow Terminal 4,10,3745,693,13944.620043963856
Acton Town,Heathrow Terminal 5,18,3745,975,16936.31677175163
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14481.038296114904
Acton Town,Hendon Central,0,3745,1878,23425.826469060667
Acton Town,High Street Kensington,16,3745,5427,8076.189202565267
Acton Town,Highbury & Islington,4,3745,25385,17165.50694677356
Acton Town,Highgate,1,3745,856,19807.830484526898
Acton Town,Hillingdon,0,3745,318,18076.095793953416
Acton Town,Holborn,117,3745,22346,13252.231354750964
Acton Town,Holland Park,0,3745,2063,9736.568200529033
Acton Town,Holloway Road,7,3745,1696,17233.651745497435
Acton Town,Hounslow Central,42,3745,708,7785.729997080279
Acton Town,Hounslow East,55,3745,843,7040.045613659337
Acton Town,Hounslow West,20,3745,401,9264.813689076676
Acton Town,Hyde Park Corner,34,3745,2410,10321.55269150539
Acton Town,Ickenham,0,3745,282,16951.658598750586
Acton Town,Kennington,2,3745,1161,14724.378648695296
Acton Town,Kentish Town,1,3745,3404,16459.488568270346
Acton Town,Kew Gardens,4,3745,792,5550.141140219173
Acton Town,Kilburn,0,3745,1953,14243.513235392651
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.653937118572
Acton Town,Kingsbury,0,3745,1018,21520.277713269286
Acton Town,Knightsbridge,64,3745,6821,9737.599103205266
Acton Town,Ladbroke Grove,9,3745,2131,7561.283263357499
Acton Town,Lambeth North,6,3745,1319,13537.86918826352
Acton Town,Lancaster Gate,1,3745,1820,10533.307289901137
Acton Town,Latimer Road,6,3745,1109,6901.70272851796
Acton Town,Leicester Square,52,3745,8847,12253.759484347089
Acton Town,Leyton,0,3745,1447,25178.441456100023
Acton Town,Leytonstone,0,3745,1844,26842.285016391426
Acton Town,Liverpool Street,55,3745,61122,16348.637259695015
Acton Town,London Bridge,39,3745,29930,14718.956146707102
Acton Town,Manor House,1,3745,1311,19789.227201831058
Acton Town,Mansion House,41,3745,7815,14998.106436872054
Acton Town,Marble Arch,1,3745,6145,11751.909474661468
Acton Town,Marylebone,1,3745,4250,11665.438569279655
Acton Town,Mile End,3,3745,3759,20258.869633181508
Acton Town,Mill Hill East,2,3745,681,25449.61013056247
Acton Town,Moorgate,14,3745,24574,16283.964037374026
Acton Town,Morden,0,3745,1447,24470.100481225625
Acton Town,Mornington Crescent,5,3745,2927,14591.31271268682
Acton Town,Newbury Park,0,3745,559,33505.622006693404
Acton Town,North Acton,3,3745,3168,6020.316853656357
Acton Town,North Ealing,20,3745,332,1951.0312832745572
Acton Town,North Greenwich,13,3745,6276,22227.94917321375
Acton Town,Northfields,30,3745,864,2580.884504710859
Acton Town,Northolt,1,3745,663,14119.396798656997
Acton Town,Northwick Park,3,3745,1713,15450.637190233421
Acton Town,Northwood,2,3745,1018,21390.206942590896
Acton Town,Northwood Hills,1,3745,488,19803.53805787768
Acton Town,Notting Hill Gate,7,3745,5490,9036.834737559408
Acton Town,Oakwood,0,3745,423,29746.186031193123
Acton Town,Old Street,28,3745,15897,17137.48375612178
Acton Town,Osterley,22,3745,521,6072.550941216152
Acton Town,Oval,1,3745,2544,15639.536333035157
Acton Town,Oxford Circus,38,3745,44368,12112.008467029871
Acton Town,Paddington,31,3745,20198,10273.923949547378
Acton Town,Park Royal,39,3745,1552,3050.6897339040497
Acton Town,Parsons Green,29,3745,2711,8987.81849098333
Acton Town,Perivale,1,3745,532,10704.495417125652
Acton Town,Piccadilly Circus,85,3745,13641,11879.068078577408
Acton Town,Pimlico,10,3745,5585,12175.643320405412
Acton Town,Pinner,0,3745,292,17644.88946618146
Acton Town,Plaistow,2,3745,1049,24034.65274467182
Acton Town,Preston Road,0,3745,411,17183.770989455334
Acton Town,Putney Bridge,21,3745,2494,9982.28084029987
Acton Town,Queensbury,0,3745,439,22766.272947632293
Acton Town,Ravenscourt Park,43,3745,1895,3542.1209878012705
Acton Town,Rayners Lane,4,3745,426,11541.524206043134
Acton Town,Redbridge,0,3745,198,29690.12112416395
Acton Town,Regent's Park,10,3745,3364,12892.935643493327
Acton Town,Richmond,33,3745,5397,7718.304404298946
Acton Town,Rickmansworth,0,3745,937,27005.725512995537
Acton Town,Royal Oak,9,3745,856,9336.627436833609
Acton Town,Ruislip,1,3745,257,15166.003616403614
Acton Town,Ruislip Manor,0,3745,408,14487.117636165753
Acton Town,Russell Square,44,3745,5172,13958.665669965138
Acton Town,Seven Sisters,6,3745,10191,22079.001964639527
Acton Town,Shepherd's Bush,0,3745,9890,9320.75040584905
Acton Town,Shepherd's Bush Market,1,3745,416,5821.5776978333715
Acton Town,Sloane Square,34,3745,8229,9610.006156273053
Acton Town,South Ealing,21,3745,670,2127.9392140339887
Acton Town,South Harrow,12,3745,387,9735.96749990646
Acton Town,South Kensington,131,3745,15325,8436.78378467275
Acton Town,South Ruislip,0,3745,289,16443.387319367466
Acton Town,South Woodford,0,3745,766,29816.256369967756
Acton Town,Southfields,15,3745,1351,12671.734525560958
Acton Town,Southgate,1,3745,874,27880.54117707607
Acton Town,Southwark,32,3745,10326,13620.607061604378
Acton Town,St. James's Park,64,3745,13339,11553.070765820625
Acton Town,St. John's Wood,2,3745,3982,14236.32568678556
Acton Town,St. Paul's,27,3745,13446,14912.866264059652
Acton Town,Stamford Brook,13,3745,784,2832.831433631414
Acton Town,Stepney Green,2,3745,1879,19229.597255910834
Acton Town,Stockwell,2,3745,1623,14507.827283222483
Acton Town,Stratford,10,3745,55954,23047.098530175976
Acton Town,Sudbury Hill,15,3745,277,8250.501840872439
Acton Town,Sudbury Town,13,3745,218,6633.445225578043
Acton Town,Swiss Cottage,3,3745,2598,14628.978897067953
Acton Town,Temple,15,3745,6780,13585.80134134509
Acton Town,Tooting Bec,1,3745,1239,19503.004908542694
Acton Town,Tooting Broadway,3,3745,4506,20577.96635088597
Acton Town,Tottenham Court Road,10,3745,19126,12839.699854910177
Acton Town,Tottenham Hale,4,3745,3239,23232.541132519716
Acton Town,Totteridge & Whetstone,1,3745,287,27587.774679813687
Acton Town,Tower Hill,28,3745,8286,16346.865019199113
Acton Town,Tufnell Park,1,3745,557,17224.089576427108
Acton Town,Turnham Green,20,3745,1515,2222.542223351717
Acton Town,Turnpike Lane,3,3745,992,22110.886560279818
Acton Town,Upminster,0,3745,1132,41457.98077560301
Acton Town,Upney,0,3745,485,30445.5676232677
Acton Town,Upton Park,0,3745,1642,25355.73138810368
Acton Town,Uxbridge,41,3745,4316,20220.490921325396
Acton Town,Vauxhall,21,3745,16242,13000.971573713066
Acton Town,Victoria,53,3745,33251,10775.765169502027
Acton Town,Walthamstow Central,1,3745,5271,26205.8106071035
Acton Town,Warren Street,25,3745,17309,13261.722913443387
Acton Town,Waterloo,32,3745,23466,12964.180132087839
Acton Town,Watford,1,3745,961,28573.535228066987
Acton Town,Wembley Park,1,3745,5759,18603.506155218638
Acton Town,West Acton,3,3745,488,4208.822078913994
Acton Town,West Brompton,17,3745,5859,7342.718283146655
Acton Town,West Ham,0,3745,5487,23104.817251114022
Acton Town,West Hampstead,1,3745,5856,13227.891628125783
Acton Town,West Harrow,0,3745,122,12905.636642454898
Acton Town,West Kensington,14,3745,1345,5834.207171132787
Acton Town,Westbourne Park,9,3745,1347,8367.223190790395
Acton Town,Westminster,33,3745,15466,12113.820105727318
Acton Town,White City,3,3745,5966,9158.020685883173
Acton Town,Whitechapel,10,3745,17633,18149.433072415843
Acton Town,Willesden Green,0,3745,830,15428.571165230025
Acton Town,Wimbledon,77,3745,6295,15687.296560132989
Acton Town,Wimbledon Park,3,3745,596,14031.384295543608
Acton Town,Wood Green,6,3745,2146,23041.71218568191
Acton Town,Wood Lane,9,3745,1578,6347.840653077842
Acton Town,Woodford,0,3745,706,31528.211285978043
Acton Town,Woodside Park,0,3745,745,26110.672983065582
Aldgate,Acton Town,0,2886,2202,16944.051816323183
Aldgate,Aldgate East,0,2886,7932,1436.4207815351233
Aldgate,Amersham,0,2886,256,45233.72547818966
Aldgate,Angel,17,2886,8103,3530.346009687588
Aldgate,Archway,2,2886,2193,9455.439524880177
Aldgate,Arnos Grove,0,2886,748,15500.106931488353
Aldgate,Arsenal,2,2886,315,7499.075222408145
Aldgate,Baker Street,167,2886,14973,6668.626621405694
Aldgate,Balham,0,2886,3814,10718.142446664779
Aldgate,Bank and Monument,5,2886,78549,1436.917240378234
Aldgate,Barbican,221,2886,9134,1863.4598968448927
Aldgate,Barking,0,2886,7004,13328.593919643266
Aldgate,Barkingside,0,2886,262,18903.27070113683
Aldgate,Barons Court,0,2886,2956,11673.520790302087
Aldgate,Bayswater,1,2886,615,10321.340732024752
Aldgate,Belsize Park,1,2886,2255,8451.214848562066
Aldgate,Bermondsey,0,2886,3172,4411.472149946874
Aldgate,Bethnal Green,0,2886,4660,3130.37608395352
Aldgate,Blackfriars,11,2886,10849,2674.672958746194
Aldgate,Blackhorse Road,2,2886,2955,12663.306878895613
Aldgate,Bond Street,13,2886,20967,6172.781519054036
Aldgate,Borough,1,2886,3254,2838.2394787862036
Aldgate,Boston Manor,0,2886,892,20455.788466278038
Aldgate,Bounds Green,2,2886,778,14145.864441112113
Aldgate,Bow Road,0,2886,1193,5134.1235770024205
Aldgate,Brent Cross,0,2886,450,13530.032963153692
Aldgate,Brixton,2,2886,5084,8284.86778425703
Aldgate,Buckhurst Hill,0,2886,228,18128.91490488702
Aldgate,Burnt Oak,0,2886,649,18122.575734303507
Aldgate,Caledonian Road,10,2886,1803,6217.068643545379
Aldgate,Camden Town,8,2886,6348,6419.336762068579
Aldgate,Canada Water,0,2886,20443,5238.687753447636
Aldgate,Canary Wharf,1,2886,58772,6564.419680228984
Aldgate,Canning Town,0,2886,15428,8612.2171631712
Aldgate,Cannon Street,4,2886,4698,1766.2299564721484
Aldgate,Canons Park,2,2886,526,23325.711931826172
Aldgate,Chalfont & Latimer,1,2886,554,41848.06533083333
Aldgate,Chalk Farm,1,2886,1329,7413.113909074478
Aldgate,Chancery Lane,5,2886,15391,3381.59327819201
Aldgate,Charing Cross,0,2886,7016,4561.638581169921
Aldgate,Chesham,0,2886,243,48164.00171909195
Aldgate,Chigwell,0,2886,148,19376.39505733138
Aldgate,Chorleywood,0,2886,702,38335.2120393763
Aldgate,Clapham Common,0,2886,2020,8293.189613111392
Aldgate,Clapham North,0,2886,1238,7650.432121732704
Aldgate,Clapham South,1,2886,1513,9545.507845847307
Aldgate,Cockfosters,1,2886,262,20688.87871862015
Aldgate,Colindale,4,2886,2081,16816.15368460986
Aldgate,Colliers Wood,0,2886,865,14048.688994405316
Aldgate,Covent Garden,2,2886,4355,4580.017561891029
Aldgate,Croxley,0,2886,340,34296.789989223835
Aldgate,Debden,0,2886,865,22016.506397928893
Aldgate,Dollis Hill,4,2886,847,14405.787312335453
Aldgate,Ealing Broadway,0,2886,4846,19049.307242227547
Aldgate,Ealing Common,0,2886,915,17970.67464546093
Aldgate,Earl's Court,2,2886,6613,10168.722724939667
Aldgate,East Acton,4,2886,1505,14440.390984323427
Aldgate,East Finchley,0,2886,1253,12794.664979302737
Aldgate,East Ham,0,2886,2062,10906.298992609729
Aldgate,East Putney,0,2886,1877,14434.240064126474
Aldgate,Eastcote,2,2886,364,26350.97412330996
Aldgate,Edgware,0,2886,772,19640.705413167212
Aldgate,Edgware Road,25,2886,6868,7703.4669888692915
Aldgate,Elephant & Castle,1,2886,6427,3659.3796309893587
Aldgate,Embankment,14,2886,10220,4221.30776071077
Aldgate,Epping,0,2886,498,27964.10124347387
Aldgate,Euston,4,2886,16800,5045.7379518953185
Aldgate,Euston Square,353,2886,8093,5221.846957839865
Aldgate,Fairlop,0,2886,182,20072.00053714881
Aldgate,Farringdon,677,2886,25592,2324.3698405864725
Aldgate,Finchley Central,1,2886,1921,15165.221524578941
Aldgate,Finchley Road,30,2886,3417,10203.263868720263
Aldgate,Finsbury Park,8,2886,6769,8271.827915636233
Aldgate,Fulham Broadway,0,2886,4200,11678.8737931114
Aldgate,Gants Hill,0,2886,601,15414.959158578231
Aldgate,Gloucester Road,0,2886,5194,9258.601511090426
Aldgate,Golders Green,1,2886,1871,12014.943859834599
Aldgate,Goldhawk Road,0,2886,370,13383.733939916814
Aldgate,Goodge Street,0,2886,6457,5388.611018125828
Aldgate,Great Portland Street,228,2886,6936,5841.807176099358
Aldgate,Green Park,3,2886,26754,5911.07310772282
Aldgate,Greenford,0,2886,1157,21901.52398531916
Aldgate,Gunnersbury,0,2886,4775,16268.82759088824
Aldgate,Hainault,1,2886,356,20950.684103292235
Aldgate,Hammersmith,2,2886,18250,12567.352876222689
Aldgate,Hampstead,2,2886,2010,9629.217952653771
Aldgate,Hanger Lane,0,2886,1493,18075.203649333092
Aldgate,Harlesden,1,2886,1668,14799.149413715928
Aldgate,Harrow & Wealdstone,0,2886,1335,23463.73949708415
Aldgate,Harrow-on-the-Hill,22,2886,3019,21925.638618626686
Aldgate,Hatton Cross,0,2886,1219,29012.33916664705
Aldgate,Heathrow Terminal 4,0,2886,693,30888.67186028704
Aldgate,Heathrow Terminal 5,1,2886,975,33880.368588074816
Aldgate,Heathrow Terminals 2 & 3,3,2886,2406,31425.090112438087
Aldgate,Hendon Central,2,2886,1878,14663.640305627214
Aldgate,High Barnet,0,2886,953,21418.21901752585
Aldgate,High Street Kensington,18,2886,5427,10263.720297314518
Aldgate,Highbury & Islington,1,2886,25385,6764.221287799143
Aldgate,Highgate,1,2886,856,11045.644321093447
Aldgate,Hillingdon,1,2886,318,31066.191333302526
Aldgate,Holborn,19,2886,22346,3947.076990568768
Aldgate,Holland Park,3,2886,2063,10271.02595389461
Aldgate,Holloway Road,8,2886,1696,6832.366086523015
Aldgate,Hounslow Central,0,2886,708,24729.78181340346
Aldgate,Hounslow East,0,2886,843,23984.097429982517
Aldgate,Hounslow West,0,2886,401,26208.86550539986
Aldgate,Hyde Park Corner,1,2886,2410,6690.962407989727
Aldgate,Ickenham,0,2886,282,29941.754138099695
Aldgate,Kennington,0,2886,1161,4498.948020214245
Aldgate,Kensal Green,0,2886,472,12302.667334711536
Aldgate,Kentish Town,1,2886,3404,7697.302404836893
Aldgate,Kew Gardens,0,2886,792,18049.108509838923
Aldgate,Kilburn,1,2886,1953,11974.62000070439
Aldgate,Kilburn Park,1,2886,823,11064.118298419751
Aldgate,King's Cross St. Pancras,351,2886,33330,4182.368278144154
Aldgate,Kingsbury,2,2886,1018,20386.40935426739
Aldgate,Knightsbridge,1,2886,6821,7274.915996289852
Aldgate,Ladbroke Grove,9,2886,2131,11204.738951905227
Aldgate,Lambeth North,0,2886,1319,4553.560740411026
Aldgate,Lancaster Gate,0,2886,1820,8074.819938583255
Aldgate,Latimer Road,4,2886,1109,11864.319486744766
Aldgate,Leicester Square,1,2886,8847,4945.548860972643
Aldgate,Leyton,0,2886,1447,9445.535728887298
Aldgate,Leytonstone,0,2886,1844,11109.379289178702
Aldgate,Liverpool Street,67,2886,61122,722.084082047546
Aldgate,London Bridge,2,2886,29930,2323.645611523806
Aldgate,Loughton,0,2886,655,19964.38930801379
Aldgate,Maida Vale,2,2886,949,10212.336775491443
Aldgate,Manor House,6,2886,1311,9387.941542856637
Aldgate,Mansion House,5,2886,7815,2014.4086626230635
Aldgate,Marble Arch,5,2886,6145,6856.217753822924
Aldgate,Marylebone,3,2886,4250,7206.92494719977
Aldgate,Mile End,0,2886,3759,4509.191411106465
Aldgate,Mill Hill East,0,2886,681,16687.42396712902
Aldgate,Moor Park,0,2886,550,31386.639340817288
Aldgate,Moorgate,112,2886,24574,1156.1715306499896
Aldgate,Morden,0,2886,1447,16660.403440958304
Aldgate,Mornington Crescent,0,2886,2927,5829.126549253367
Aldgate,Neasden,1,2886,732,15191.370326090142
Aldgate,Newbury Park,0,2886,559,17772.71627948068
Aldgate,North Acton,1,2886,3168,15620.91030066569
Aldgate,North Greenwich,0,2886,6276,8394.202971258832
Aldgate,North Harrow,2,2886,190,23905.267341108596
Aldgate,North Wembley,0,2886,365,19360.35309983221
Aldgate,Northfields,0,2886,864,19524.93632103404
Aldgate,Northolt,0,2886,663,23719.990245666326
Aldgate,Northwick Park,20,2886,1713,20622.50676120196
Aldgate,Northwood,2,2886,1018,29168.34022840889
Aldgate,Northwood Hills,1,2886,488,27581.671343695674
Aldgate,Notting Hill Gate,7,2886,5490,9571.292490924985
Aldgate,Oakwood,0,2886,423,19344.900372218704
Aldgate,Old Street,8,2886,15897,2009.691249397742
Aldgate,Osterley,0,2886,521,23016.602757539335
Aldgate,Oval,1,2886,2544,5414.105704554107
Aldgate,Oxford Circus,15,2886,44368,5618.440953762985
Aldgate,Paddington,73,2886,20198,8492.098265715347
Aldgate,Parsons Green,0,2886,2711,12381.212124539483
Aldgate,Perivale,0,2886,532,20305.088864134985
Aldgate,Piccadilly Circus,4,2886,13641,5133.44702091771
Aldgate,Pimlico,0,2886,5585,7568.164797724539
Aldgate,Pinner,1,2886,292,25423.022751999455
Aldgate,Plaistow,0,2886,1049,8284.974522596778
Aldgate,Preston Road,5,2886,411,18889.372961980047
Aldgate,Putney Bridge,0,2886,2494,13375.674473856023
Aldgate,Queen's Park,4,2886,2167,10918.041673641988
Aldgate,Queensbury,0,2886,439,21632.404588630397
Aldgate,Queensway,0,2886,1882,8932.969560045038
Aldgate,Rayners Lane,1,2886,426,24531.619745392243
Aldgate,Redbridge,0,2886,198,13957.215396951227
Aldgate,Richmond,0,2886,5397,20217.271773918696
Aldgate,Rickmansworth,3,2886,937,34783.85879881353
