station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Battersea Park,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Edgware Road,0,0,2,38,25,0,0,0,0,4,3,1,0,29,0,46,61,5,0,7,0,23,0,0,0,1,7,4,12,1,0,5,2,1,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,2,11,75,10,10,0,0,0,0,0,1,13,46,0,0,0,0,5,0,1,0,0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,38,0,1,2,0,14,0,0,0,0,34,0,0,35,0,0,0,2,99,0,151,0,5,0,7,0,0,44,0,1,0,31,1,8,0,0,0,0,25,12,2,0,12,0,0,0,0,0,126,1,0,3,6,0,0,4,1,0,2,0,1,1,3,1,0,0,71,0,14,0,0,24,4,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,105,1,1,29,11,0,0,14,2,0,0,0,0,0,0,156,59,0,0,0,3,4,0,9,0,0,8,7,0,0,132,0,0,0,1,0,0,0,2,0,9,0,0,4,0,4,1,0,0,37,0,13,1,1,68,35,0,14,0,0,0,57,10,0,1,0,0,1,0,0,33,14,0,0,0,4,1,0,0,12,12,0,0,0,0,0,6,0,0,0,0,3,0,12,0,0,3,10,0,0,29,0,0,2,0,0,47,0,0,0,0,0,0,0,10,0,18,0,16,3,19,1,0,3,0,7,1,0,3,18,0,0,0,0,0,3,0,10,0,0,1,3,11,4,0,0,34,1,0,4,1,0,0,0,0,2,6,22,40,4,0,0,0,0,0,2,2,63,0,0,0,2,15,1,46,0,0,4,4,0,0,4,0,0,13,0,29,0,0,19,1,5,71,1,4,42,0,0,0,0,0,2841
Edmonton Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,9,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,43,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,404,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,73,0,0,0,0,70,0,6,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2079
Elephant & Castle,0,0,14,9,22,0,3,0,0,199,34,4,2,189,78,329,16,7,1,36,0,1,0,0,0,28,4,26,3,8,0,48,9,3,5,0,3,3,0,32,0,3,0,0,0,0,5,0,0,23,0,0,0,80,14,192,20,2,0,0,0,0,0,19,17,142,0,0,0,0,14,1,72,0,0,23,91,0,1,27,32,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,22,1,42,16,11,7,0,3,0,5,165,0,0,0,0,95,0,0,1,103,1,0,13,18,20,0,42,0,0,34,0,5,0,36,19,3,67,0,0,0,1,70,4,0,25,0,0,0,0,1,142,16,0,6,28,0,0,8,11,0,5,0,2,6,15,26,0,3,53,0,18,8,0,21,21,28,0,0,0,3,2,3,0,31,0,0,0,0,1,13,0,0,25,0,1,1,10,0,19,0,218,0,90,32,9,3,0,10,24,0,7,0,12,0,0,51,381,0,0,0,30,7,0,2,48,0,144,15,2,1,490,58,25,0,3,0,0,1,32,2,25,2,4,2,4,15,2,2,0,50,0,417,1,28,804,394,12,21,0,0,6,530,14,1,1,0,0,0,0,0,12,68,0,2,17,11,1,0,0,200,0,4,0,0,0,0,5,0,0,0,0,17,0,31,0,0,55,1,0,0,61,1,0,10,0,0,147,0,0,0,0,53,2,0,2,1,1,0,45,18,10,14,0,4,0,9,30,0,11,95,0,0,0,0,0,22,0,8,0,0,39,159,94,11,2,0,12,5,0,11,4,0,0,0,0,8,24,29,71,15,0,0,1,0,0,81,39,193,0,0,0,10,28,3,15,0,0,6,11,1,0,18,0,0,9,0,13,77,0,19,5,24,0,1,18,0,0,1,0,3,0,9325
Elm Park,0,0,0,0,54,0,0,0,0,10,0,0,0,10,0,75,8,646,0,4,0,0,0,0,23,1,8,17,55,0,0,21,2,0,0,0,31,0,0,2,0,23,0,0,0,1,0,0,0,2,0,0,0,3,9,90,32,32,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,0,0,2,0,0,0,0,3,0,9,0,0,48,0,2,0,0,2,0,13,0,0,32,0,0,2,4,7,0,15,0,0,0,3,0,0,2,0,0,0,5,0,0,4,0,0,0,9,13,0,0,2,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,22,1,2,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,5,2,0,0,2,0,2,0,2,0,0,80,31,0,0,2,0,0,0,37,11,0,1,21,0,0,4,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,10,0,0,29,4,0,1,0,0,0,5,1,0,24,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,12,2,0,0,0,0,12,0,0,0,0,1,1,0,1,0,19,0,32,2,20,0,0,0,0,15,0,0,0,65,0,0,0,0,0,2,0,27,0,0,0,2,24,0,0,0,24,0,0,1,0,159,71,28,0,46,1,10,7,0,0,0,0,0,0,2,0,23,0,0,0,0,2,0,7,0,0,70,2,0,0,2,0,0,0,0,24,6,0,137,0,0,6,0,1,0,0,2,0,0,0,2738
Elverson Road,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,23,2,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151
Embankment,0,0,6,18,71,0,0,0,0,5,5,0,0,21,4,166,6,22,0,35,0,9,0,0,0,0,2,1,94,0,0,7,6,0,0,0,5,0,0,4,0,6,0,0,0,0,1,0,0,0,0,0,0,18,25,44,25,87,0,0,0,0,0,0,2,1,0,0,0,0,24,0,5,0,0,8,1,0,0,1,2,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,2,16,3,86,0,3,20,0,5,0,2,10,0,11,2,0,0,0,0,1,34,0,0,5,0,1,0,3,0,0,51,0,1,0,105,1,0,20,0,0,0,0,6,0,0,55,0,0,0,0,0,158,0,0,1,3,0,0,0,0,0,0,0,0,4,6,0,0,0,118,0,4,0,0,3,2,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,6,1,0,0,0,21,3,5,0,7,0,0,0,6,0,6,0,3,0,0,64,9,0,0,0,2,0,0,127,6,0,30,8,1,1,19,7,13,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,21,0,11,0,10,59,80,0,30,0,0,0,23,5,0,7,0,0,0,0,0,24,4,0,0,2,20,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,1,0,0,233,0,0,0,0,0,380,0,0,0,0,0,0,0,7,1,0,0,411,9,2,10,0,0,0,10,3,0,1,26,0,0,0,0,0,1,0,70,0,0,0,5,44,2,2,0,133,2,0,23,1,2,0,1,0,15,0,11,59,3,0,0,0,0,0,42,10,52,0,0,0,1,2,0,161,0,0,8,0,0,0,38,0,0,1,0,59,2,0,44,0,6,5,1,1,1,0,1,0,0,0,4081
Emerson Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335
Enfield Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1803
Epping,0,0,1,5,23,0,0,0,0,15,0,0,0,10,1,198,17,4,2,2,0,0,0,0,0,2,9,35,7,0,0,59,5,0,0,0,2,1,0,4,0,5,0,0,0,14,0,0,0,2,0,0,0,3,6,106,17,0,0,0,0,0,0,0,103,15,0,0,2,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,5,0,2,1,1,3,0,1,0,0,7,0,12,0,0,9,0,0,0,13,8,3,25,2,0,0,1,0,0,2,0,3,0,3,0,0,2,0,0,0,7,16,2,0,0,0,0,0,0,3,11,0,0,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,0,1,0,82,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,42,0,11,1,0,13,0,1,9,0,16,0,22,0,0,323,40,0,0,72,0,1,0,0,37,0,5,18,0,0,1,0,4,0,0,0,0,4,5,0,7,0,0,0,0,0,0,0,0,7,0,12,0,3,99,10,0,3,0,0,1,14,5,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,10,16,0,0,0,0,15,0,0,0,0,1,26,0,0,1,21,0,21,3,132,0,0,0,0,5,0,0,0,394,0,0,0,0,0,1,0,2,0,32,0,5,77,0,0,0,21,0,0,0,0,0,0,2,0,2,0,21,51,0,0,0,1,0,0,13,0,51,0,0,0,0,4,1,3,0,0,3,0,0,0,0,0,0,0,0,22,11,0,57,0,0,1,0,1,0,0,25,0,0,0,2899
Euston,0,2,6,80,18,0,1,0,0,228,75,3,6,7,14,1956,35,9,1,18,0,0,0,0,1,54,16,20,116,37,0,70,152,7,12,0,2,8,0,83,0,5,0,0,0,1,4,0,0,14,0,0,0,134,30,478,36,17,0,0,28,0,0,24,165,349,0,0,0,0,9,0,16,0,0,15,9,0,3,81,6,13,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,2,13,1,47,6,35,1,0,8,0,5,9,0,95,0,0,235,0,0,0,0,9,0,105,33,1,0,127,0,0,24,0,2,0,55,25,0,88,0,0,0,1,463,4,0,54,0,0,0,0,1,75,23,0,9,119,0,0,27,1,7,7,21,2,6,12,26,0,20,35,0,366,22,0,78,12,18,0,0,0,2,4,4,0,26,0,0,2,0,26,36,0,6,83,0,5,7,0,107,1,0,169,0,78,1,28,9,0,1,285,0,5,0,2,0,0,109,770,0,0,0,1,22,0,38,70,0,12,15,13,0,1139,13,37,0,1,0,0,2,29,0,76,0,29,7,1,0,0,0,0,20,1,872,2,51,615,50,3,9,0,0,3,58,265,0,2,0,0,0,0,0,14,64,0,0,18,3,0,0,0,1,9,0,0,0,0,0,0,0,0,3,0,6,0,149,0,0,30,0,0,0,56,1,13,2,71,0,128,7,0,1,0,11,3,0,6,10,94,0,244,6,190,2,0,1,0,3,28,0,60,100,0,0,0,0,0,2,0,37,0,0,10,45,254,97,14,0,92,15,0,3,17,0,0,0,0,5,1,690,1753,56,0,0,1,0,0,26,2,652,0,30,0,118,5,1,54,0,2,3,4,0,0,18,0,0,1,0,217,30,0,13,0,102,5,1,35,0,0,2,0,10,0,17796
Euston Square,0,0,0,507,85,0,0,1,0,1,0,0,1,159,0,27,387,20,0,0,0,0,0,0,0,0,0,15,6,0,0,4,1,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,8,5,7,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,1,0,0,14,0,1,0,0,130,0,1,1,0,1,0,0,2,0,0,0,1081,0,21,0,1,0,0,3,0,0,0,0,0,8,0,0,0,0,22,3,0,0,1,0,0,0,0,3,103,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,17,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,34,7,1,38,0,0,0,25,0,0,3,0,1,0,0,745,9,0,0,0,4,0,0,5,0,0,5,17,0,2,359,0,0,0,3,0,0,0,1,0,1,2,0,0,0,19,2,3,0,1,0,5,0,0,4,340,0,5,0,0,0,1,0,2,10,0,0,4,0,0,2,2,0,1,0,0,4,0,0,0,1,4,0,0,0,0,11,0,0,0,2,0,0,3,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4,14,1,0,0,7,0,15,0,0,0,47,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,78,0,0,0,2,0,0,1,0,15,36,1,7,0,0,0,0,0,0,0,0,4,1,0,0,0,76,0,4,0,0,16,16,0,0,0,0,0,20,0,7,0,0,58,7,0,5,0,0,47,0,1,0,0,0,4926
Fairlop,0,0,0,2,7,0,0,0,0,3,0,0,0,6,0,67,9,0,1,1,0,0,0,0,0,0,2,15,1,0,0,22,2,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,2,3,27,8,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,6,0,0,4,0,0,0,3,5,0,11,0,1,0,1,0,0,1,0,2,0,2,0,0,1,0,0,0,4,8,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,5,0,0,5,0,0,1,0,10,0,19,0,0,89,17,0,0,0,0,0,0,0,9,0,1,8,0,0,2,0,3,0,0,0,0,11,1,0,7,0,0,0,0,0,0,0,0,2,0,5,0,1,29,3,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,8,0,7,3,43,0,0,0,0,2,0,0,0,160,0,0,0,0,0,0,0,1,0,0,2,2,19,0,0,0,10,0,0,0,0,0,0,0,0,1,1,8,26,0,0,0,11,0,0,3,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,25,0,0,1,0,0,0,0,2,0,0,0,995
Farringdon,0,0,0,340,88,0,0,0,0,10,0,1,1,243,1,55,170,13,0,1,0,2,0,0,0,7,1,11,1,13,0,6,2,0,3,0,7,1,0,4,0,10,0,0,0,0,0,0,0,20,0,0,0,18,0,6,3,7,0,1,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,3,0,0,67,0,0,0,0,3,0,0,1,23,248,0,0,0,27,0,27,0,0,4,0,1,0,2,3,2,0,0,0,1,274,14,0,0,1,0,0,0,0,0,26,4,0,0,1,0,0,0,34,0,0,0,0,0,1,2,0,0,19,0,24,0,0,14,0,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,260,1,9,57,0,0,0,20,4,0,5,0,4,0,0,991,8,0,0,0,2,9,0,1,0,0,18,17,0,1,592,0,0,0,3,0,0,0,3,0,1,3,0,0,0,29,4,1,0,9,1,30,0,1,23,310,0,1,0,0,0,8,2,2,4,0,0,3,0,0,1,6,0,3,0,0,3,0,0,3,0,1,0,0,0,0,16,0,0,0,0,23,0,26,0,0,1,5,0,0,6,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,12,8,0,0,0,2,0,20,2,0,0,85,0,0,0,0,0,5,0,0,0,0,0,2,1,12,0,0,46,0,0,0,9,0,0,0,0,6,32,7,28,10,0,0,0,0,0,28,3,1,1,0,0,1,87,0,3,0,0,8,5,0,0,0,0,0,42,0,10,1,0,62,1,1,0,0,18,28,0,0,0,0,0,5052
