,OrigCodeNew,DestCodeNew,TotalNoIntra,Orig,OrigCode,Dest,DestCode,Total,WorksFromHome,Underground,Train,Bus,Taxi,CarDrive,CarPass,Motobike,Bicycle,Walk,Other,Oi1_origpop,Oi2_origsal,Dj1_destpop,Dj2_destsal,offset,Dist,unconstrainedEst1,log_Oi1_origpop,log_Dj2_destsal,log_Dist,unconstrainedEst2,fitted
134,E09000005,E09000003,6124,Brent,00AE,Barnet,00AC,6124,0,334,160,1622,7,3224,307,57,71,326,16,127000,16500,159000,18700,0.0,7543.160694725926,6648,11.751942365440728,9.836278802842678,8.928396563448254,4707,4707.262015534663
135,E09000005,E09000004,28,Brent,00AE,Bexley,00AD,28,0,5,6,4,0,10,0,3,0,0,0,127000,16500,112000,18300,0.0,30474.54429965225,399,11.751942365440728,9.814656338829513,10.3246470009859,636,636.1529514001382
137,E09000005,E09000006,66,Brent,00AE,Bromley,00AF,66,0,24,15,5,0,16,3,0,0,0,3,127000,16500,164000,19100,0.0,30382.2543117196,419,11.751942365440728,9.857443614034722,10.32161397720587,686,685.5273802867958
138,E09000005,E09000007,8105,Brent,00AE,Camden,00AG,8105,0,3661,994,915,19,1707,178,105,205,311,10,127000,16500,101000,19800,0.0,7774.388095972739,6627,11.751942365440728,9.893437216682626,8.958590032467704,4957,4956.737649357404
165,E09000006,E09000001,9855,Bromley,00AF,City of London,00AA,9855,0,173,8841,67,6,512,53,155,27,11,10,164000,19100,12000,38300,0.0,18740.607285235506,2849,12.007621706806335,10.553205175168737,9.838447961096358,6670,6670.25030062471
166,E09000006,E09000002,134,Bromley,00AF,Barking and Dagenham,00AB,134,0,3,10,0,0,118,3,0,0,0,0,164000,19100,56000,16200,0.0,19954.175630532198,1063,12.007621706806335,9.692766521220475,9.901193705205399,1480,1479.9415904841337
167,E09000006,E09000003,162,Bromley,00AF,Barnet,00AC,162,0,21,68,3,0,57,3,4,0,6,0,164000,19100,159000,18700,0.0,32661.866413023996,458,12.007621706806335,9.836278802842678,10.393963511646817,937,936.7081148597296
168,E09000006,E09000004,3199,Bromley,00AF,Bexley,00AD,3199,0,3,103,266,6,2597,114,55,25,23,7,164000,19100,112000,18300,0.0,11733.551096221563,3472,12.007621706806335,9.814656338829513,9.370207632082922,3820,3820.4350589957244
169,E09000006,E09000005,201,Bromley,00AF,Brent,00AE,201,0,19,68,18,0,80,6,4,3,3,0,164000,19100,127000,16500,0.0,30382.2543117196,467,12.007621706806335,9.711115659888671,10.32161397720587,844,843.9264139609795
171,E09000006,E09000007,3780,Bromley,00AF,Camden,00AG,3780,0,130,3155,58,3,284,24,86,27,7,6,164000,19100,101000,19800,0.0,24233.425351992242,881,12.007621706806335,9.893437216682626,10.09548817203992,1567,1566.7392590686745
198,E09000007,E09000001,8795,Camden,00AG,City of London,00AA,8795,0,5738,1042,441,130,501,60,128,209,532,14,101000,19800,12000,38300,0.0,5742.755682272835,18684,11.522875795823397,10.553205175168737,8.655694458129807,15056,15056.14696459106
199,E09000007,E09000002,36,Camden,00AG,Barking and Dagenham,00AB,36,0,11,6,0,0,16,0,3,0,0,0,101000,19800,56000,16200,0.0,20157.083802277262,641,11.522875795823397,9.692766521220475,9.911311059057281,623,622.92271863738
200,E09000007,E09000003,1496,Camden,00AG,Barnet,00AC,1496,0,310,79,270,3,664,40,12,31,84,3,101000,19800,159000,18700,0.0,8560.281577859016,4106,11.522875795823397,9.836278802842678,9.05488836320447,2635,2634.86900436234
201,E09000007,E09000004,32,Camden,00AG,Bexley,00AD,32,0,4,9,0,0,13,6,0,0,0,0,101000,19800,112000,18300,0.0,22882.653749997367,562,11.522875795823397,9.814656338829513,10.038134424344735,637,636.9189279694384
202,E09000007,E09000005,1350,Camden,00AG,Brent,00AE,1350,0,327,118,179,4,498,22,21,28,144,9,101000,19800,127000,16500,0.0,7774.388095972739,4392,11.522875795823397,9.711115659888671,8.958590032467704,2455,2455.2902673380477
203,E09000007,E09000006,60,Camden,00AG,Bromley,00AF,60,0,20,24,3,0,13,0,0,0,0,0,101000,19800,164000,19100,0.0,24233.425351992242,523,11.522875795823397,9.857443614034722,10.09548817203992,630,630.4111132864847
